iter	RMSE
0	5.649601884
1	5.634352122
2	5.618203109
3	5.602494274
4	5.588628688
5	5.57443719
6	5.558943892
7	5.5437717
8	5.528477699
9	5.513465514
10	5.498033591
11	5.483068819
12	5.468670852
13	5.456071977
14	5.442293864
15	5.42781079
16	5.414087458
17	5.401591663
18	5.388308711
19	5.375245019
20	5.362448846
21	5.349818693
22	5.337674686
23	5.324783236
24	5.314002282
25	5.302695089
26	5.289890558
27	5.279481107
28	5.267938259
29	5.255061342
30	5.242778285
31	5.231588609
32	5.220390131
33	5.209868081
34	5.200524168
35	5.188828706
36	5.177846446
37	5.167000229
38	5.157252805
39	5.148168795
40	5.138122464
41	5.128151436
42	5.117347172
43	5.108448908
44	5.098592775
45	5.088856423
46	5.07934157
47	5.070404717
48	5.06068459
49	5.05191531
50	5.041700078
51	5.032600995
52	5.024078161
53	5.015535842
54	5.006531863
55	4.99804072
56	4.989117258
57	4.980711599
58	4.972902032
59	4.964488427
60	4.956842421
61	4.948919906
62	4.941445631
63	4.933637033
64	4.926681525
65	4.918622875
66	4.91184088
67	4.904902613
68	4.897804771
69	4.890573956
70	4.884081358
71	4.87670067
72	4.869725781
73	4.863258594
74	4.8571637
75	4.849853212
76	4.843400622
77	4.837439
78	4.83039648
79	4.824023406
80	4.81850493
81	4.81176338
82	4.805235726
83	4.798943448
84	4.792923897
85	4.786878963
86	4.779731141
87	4.773108335
88	4.766574853
89	4.760699341
90	4.754805198
91	4.749299632
92	4.743672943
93	4.738073429
94	4.732373639
95	4.727119797
96	4.720998218
97	4.715459232
98	4.710019846
99	4.703946331
100	4.69882754
101	4.693671738
102	4.689823936
103	4.684151031
104	4.679562376
105	4.674404925
106	4.66968685
107	4.665147987
108	4.660084581
109	4.65503308
110	4.650405003
111	4.645274279
112	4.641215201
113	4.636295033
114	4.631128365
115	4.626996906
116	4.622464528
117	4.618045755
118	4.614420927
119	4.610039603
120	4.605692614
121	4.601550111
122	4.596915432
123	4.592817437
124	4.589070757
125	4.585602839
126	4.581426831
127	4.577382977
128	4.573101047
129	4.568627461
130	4.564744618
131	4.561252298
132	4.557467978
133	4.553272959
134	4.549440663
135	4.546240896
136	4.542567871
137	4.538495329
138	4.535471552
139	4.531927988
140	4.52777312
141	4.524313408
142	4.52099142
143	4.51630452
144	4.512733665
145	4.50913778
146	4.505806297
147	4.503426218
148	4.499368869
149	4.496457983
150	4.493343324
151	4.490004226
152	4.487593943
153	4.484716145
154	4.481754217
155	4.478496558
156	4.475649744
157	4.472406519
158	4.469846997
159	4.466715845
160	4.46411984
161	4.461385604
162	4.458271225
163	4.455852118
164	4.452976647
165	4.449559478
166	4.446665425
167	4.444133478
168	4.44110058
169	4.438116024
170	4.435667347
171	4.432489806
172	4.429659186
173	4.42689542
174	4.424296524
175	4.422173946
176	4.419319645
177	4.416635962
178	4.414077646
179	4.41205175
180	4.409506575
181	4.407040597
182	4.404945826
183	4.40198051
184	4.399692312
185	4.397152126
186	4.394183178
187	4.391584364
188	4.38923378
189	4.386896692
190	4.384613792
191	4.382197953
192	4.379780772
193	4.377495997
194	4.375256764
195	4.37334987
196	4.370571606
197	4.368164786
198	4.365810557
199	4.363473897
200	4.360931241
201	4.359200301
202	4.356673029
203	4.354847219
204	4.352539454
205	4.350020678
206	4.348383192
207	4.34658425
208	4.344670963
209	4.342747573
210	4.340962319
211	4.338881314
212	4.336732754
213	4.334762947
214	4.332490302
215	4.3304051
216	4.32857886
217	4.326426514
218	4.324406201
219	4.322334116
220	4.32069582
221	4.318768616
222	4.317158231
223	4.314890527
224	4.312956728
225	4.311235431
226	4.309537139
227	4.307766124
228	4.306131988
229	4.304538064
230	4.302722121
231	4.300741696
232	4.298880704
233	4.296994818
234	4.29498691
235	4.29286461
236	4.290835824
237	4.288883986
238	4.286964651
239	4.285287193
240	4.283345243
241	4.281645978
242	4.279815994
243	4.278477291
244	4.276780684
245	4.275163283
246	4.273521404
247	4.271780262
248	4.269925336
249	4.268173206
250	4.266355949
251	4.264105032
252	4.262494229
253	4.260762931
254	4.259071463
255	4.257783317
256	4.25623142
257	4.254763781
258	4.252963161
259	4.251489576
260	4.250130229
261	4.248455311
262	4.246543714
263	4.245289239
264	4.243963304
265	4.242326084
266	4.240824919
267	4.239480138
268	4.237637185
269	4.236530422
270	4.234068967
271	4.232047919
272	4.230575389
273	4.229208647
274	4.227755135
275	4.22653086
276	4.224936281
277	4.223249332
278	4.221520015
279	4.220141031
280	4.218938677
281	4.217734545
282	4.216331487
283	4.214531728
284	4.213345893
285	4.211716243
286	4.210164736
287	4.208571074
288	4.207345488
289	4.205701415
290	4.204098865
291	4.202625508
292	4.201183521
293	4.199511378
294	4.198097126
295	4.196537744
296	4.195120863
297	4.193732005
298	4.192249335
299	4.191069134
300	4.189622989
301	4.188531075
302	4.187101322
303	4.18581001
304	4.184879976
305	4.183399511
306	4.182321541
